"Category","Element","P_Value","Adjusted_P_Value"
"nuclear geyser system","Al",0.0868572040630032,0.382631328484855
"nuclear geyser system","Ca",0.334927531088304,0.63193873790246
"nuclear geyser system","Co",0.0443855430155228,0.269146481473524
"nuclear geyser system","Cr",0.373230400006843,0.654790175450601
"nuclear geyser system","F",0.373230400006843,0.654790175450601
"nuclear geyser system","Fe",0.209155332685463,0.510176055195269
"nuclear geyser system","H",0.574238847285297,0.795602577240964
"nuclear geyser system","K",0.016433033170096,0.269146481473524
"nuclear geyser system","Mg",0.0211113608784763,0.269146481473524
"nuclear geyser system","Na",0.42768155314523,0.712802588575384
"nuclear geyser system","Ni",0.0489578302238489,0.269146481473524
"nuclear geyser system","O",0.13983380375427,0.411275893394912
"nuclear geyser system","P",0.0270520397800533,0.269146481473524
"nuclear geyser system","S",0.111704874652611,0.382631328484855
"nuclear geyser system","Si",0.0463735652105461,0.269146481473524
"nuclear geyser system","Ti",0.0538292962947048,0.269146481473524
"nuclear geyser system","C",0.896548290438742,0.974509011346458
"nuclear geyser system","Th",0.0529802387571121,0.269146481473524
"nuclear geyser system","U",0.0529802387571121,0.269146481473524
"lake","Al",0.727251197432074,0.897840984484042
"lake","Ca",0.237218824642879,0.527152943650843
"lake","F",0.373230400006843,0.654790175450601
"lake","Fe",0.951149759500329,1
"lake","H",0.333254956126596,0.63193873790246
"lake","K",0.310713157259271,0.6092414848221
"lake","Mg",0.538601044474638,0.792060359521527
"lake","Na",0.20917218263006,0.510176055195269
"lake","O",0.538441849904951,0.792060359521527
"lake","P",0.0716453759589557,0.341168456947408
"lake","S",1,1
"lake","Si",0.390846929730079,0.662452423271321
"lake","Ba",0.277493029260191,0.596221506298487
"lake","C",0.029414676527763,0.269146481473524
"lake","Cl",0.00136457213535385,0.136457213535385
"lake","Mn",0.0529802387571121,0.269146481473524
"lake","Th",0.0371661329576121,0.269146481473524
"lake","U",0.0371661329576121,0.269146481473524
"hydrothermal vent","Al",0.22815548821417,0.51873910040069
"hydrothermal vent","Ca",0.108346940524775,0.382631328484855
"hydrothermal vent","Cr",0.653433380121085,0.848614779378032
"hydrothermal vent","F",0.160581793394839,0.458805123985255
"hydrothermal vent","Fe",0.0516353741104572,0.269146481473524
"hydrothermal vent","H",0.172771837351479,0.466950911760753
"hydrothermal vent","K",0.0483392294290325,0.269146481473524
"hydrothermal vent","Mg",0.133618581483552,0.411275893394912
"hydrothermal vent","Na",0.138591107123132,0.411275893394912
"hydrothermal vent","Ni",0.485123155965037,0.756851331396552
"hydrothermal vent","O",0.714052655266738,0.892565819083423
"hydrothermal vent","P",0.0900052887049852,0.382631328484855
"hydrothermal vent","S",0.982860248096568,1
"hydrothermal vent","Si",0.821202043054765,0.934780984059986
"hydrothermal vent","Ti",0.364069018416204,0.654790175450601
"hydrothermal vent","C",0.796287293872547,0.934780984059986
"hydrothermal vent","Cl",0.281236679526201,0.596221506298487
"hydrothermal vent","Mn",1,1
"hydrothermal vent","Th",1,1
"hydrothermal vent","U",1,1
"volcano","Al",0.286186323023274,0.596221506298487
"volcano","Ca",0.822607265972788,0.934780984059986
"volcano","Fe",0.960868944445105,1
"volcano","H",0.109646034766374,0.382631328484855
"volcano","K",0.0933796435036331,0.382631328484855
"volcano","Mg",0.675506548877725,0.866034037022725
"volcano","Na",0.301966568423929,0.6092414848221
"volcano","O",0.227419209012712,0.51873910040069
"volcano","S",0.76166636296412,0.917670316824241
"volcano","Si",0.0197223015573969,0.269146481473524
"volcano","Ti",0.818098505024678,0.934780984059986
"volcano","Ba",0.486573985052907,0.756851331396552
"volcano","C",0.896437499774146,0.974509011346458
"volcano","Th",0.189752238223152,0.486544200572186
"volcano","U",0.189752238223152,0.486544200572186
"rock pores","Al",0.576396498062065,0.795602577240964
"rock pores","Ca",0.690213738340435,0.873688276380297
"rock pores","Cr",0.751288077074884,0.916204972042542
"rock pores","F",0.0961239639332716,0.382631328484855
"rock pores","Fe",0.0197796792136526,0.269146481473524
"rock pores","H",0.582369797404591,0.795602577240964
"rock pores","K",0.626178326488183,0.832334239091996
"rock pores","Mg",0.10947893741577,0.382631328484855
"rock pores","Na",0.85301631482835,0.947795905364833
"rock pores","O",0.587864353947071,0.795602577240964
"rock pores","P",0.491116157671509,0.756851331396552
"rock pores","S",0.564441319303582,0.795602577240964
"rock pores","Si",0.491953365407759,0.756851331396552
"rock pores","Ti",0.308424706003599,0.6092414848221
"rock pores","Ba",0.050365322750238,0.269146481473524
"rock pores","C",0.835025389031549,0.938230774192752
"rock pores","Cl",0.632574021709917,0.832334239091996
"coastal environment","Al",0.228245204176304,0.51873910040069
"coastal environment","Ca",0.455362154668981,0.746495335522919
"coastal environment","Fe",0.0142650084341538,0.269146481473524
"coastal environment","H",0.118615711830305,0.382631328484855
"coastal environment","K",0.588745907158313,0.795602577240964
"coastal environment","Mg",0.116864532287033,0.382631328484855
"coastal environment","O",0.166317253096253,0.461992369711814
"coastal environment","P",0.805960399058944,0.934780984059986
"coastal environment","S",1,1
"coastal environment","Si",0.390846929730079,0.662452423271321
"coastal environment","C",0.536833185745311,0.792060359521527
