"Category","Element","P_Value"
"nuclear geyser system","Co",0.0443855430155228
"nuclear geyser system","K",0.016433033170096
"nuclear geyser system","Mg",0.0211113608784763
"nuclear geyser system","Ni",0.0489578302238489
"nuclear geyser system","P",0.0270520397800533
"nuclear geyser system","Si",0.0463735652105461
"lake","C",0.029414676527763
"lake","Cl",0.00136457213535385
"lake","Th",0.0371661329576121
"lake","U",0.0371661329576121
"hydrothermal vent","K",0.0483392294290325
"volcano","Si",0.0197223015573969
"rock pores","Fe",0.0197796792136526
"coastal environment","Fe",0.0142650084341538
